speaker,content,start,end,event_type,role,tool_name,agent_type,agent_id,model,tokens_out,event_id,content_type
Edwin,"I'm a high school science teacher and a lot of my students struggle to understand our science textbooks. What does the research say about the most effective ways to improve reading comprehension in science, and what should I actually do in my classroom? Give me specific studies with author names and effect sizes where you can.",0.0,6.88,message,user,,,,,,c6b8ea06-b102-4b1e-a007-dad9a63c54e7,text
Tool:ToolSearch,"[ToolSearch] {""query"": ""select:WebSearch,WebFetch"", ""max_results"": 5}",6.88,13.048,tool_call,tool,ToolSearch,,,claude-opus-5,,91d32582-4b36-43e6-982d-77afad17a31b,text
Claude,I'll verify the key effect sizes rather than work from memory.,13.048,13.527,message,assistant,,,,claude-opus-5,339,4c6afe9c-cb1e-4718-8c7a-4a811740c997,text
Tool:WebSearch,"[WebSearch] {""query"": ""meta-analysis reading comprehension strategy instruction science text effect size""}",13.527,15.125,tool_call,tool,WebSearch,,,claude-opus-5,,cd357b7b-6b44-41ef-9f81-2b585be7b8d7,text
Tool:WebSearch,"[WebSearch] {""query"": ""Cervetti Wright Hwang \""Seeds of Science\"" integrated science literacy effect size""}",15.125,15.534,tool_call,tool,WebSearch,,,claude-opus-5,,788dc94b-a09f-4c26-8c91-2dc76bdd9c3d,text
Tool:WebSearch,"[WebSearch] {""query"": ""Guthrie Concept-Oriented Reading Instruction CORI meta-analysis effect size science""}",15.534,15.786,tool_call,tool,WebSearch,,,claude-opus-5,,ff011e17-c7cb-4643-ac77-42f32c672f3b,text
Tool:WebSearch,"[WebSearch] {""query"": ""disciplinary literacy science reading intervention adolescents meta-analysis 2023 2024 effect size""}",15.786,28.141,tool_call,tool,WebSearch,,,claude-opus-5,,01cd8eef-d4b9-4fd8-9981-3d5b0c5fd536,text
Tool:WebSearch,"Web search results for query: ""Guthrie Concept-Oriented Reading Instruction CORI meta-analysis effect size science""

Links: [{""title"":""(PDF) THE IMPACT OF CONCEPT-ORIENTED READING INSTRUCTION (CORI) ON STUDENT ACHIEVEMENT AND READING COMPREHENSION SKILLS IN ELEMENTARY SCIENCE TEACHING"",""url"":""https://www.researchgate.net/publication/358345991_THE_IMPACT_OF_CONCEPT-ORIENTED_READING_INSTRUCTION_CORI_ON_STUDENT_ACHIEVEMENT_AND_READING_COMPREHENSION_SKILLS_IN_ELEMENTARY_SCIENCE_TEACHING""},{""title"":""Guthrie Et Al. (2000) | PDF | Effect Size | Motivation"",""url"":""https://www.scribd.com/document/146557876/Guthrie-Et-Al-2000""},{""title"":""Effectiveness of Interventions that Foster Reading Motivation: a Meta-analysis | Educational Psychology Review | Springer Nature Link"",""url"":""https://link.springer.com/article/10.1007/s10648-023-09719-3""},{""title"":""(PDF) Contributions of Concept-Oriented Reading Instruction to Knowledge About Interventions for Motivations in Reading"",""url"":""https://www.researchgate.net/publication/232918121_Contributions_of_Concept-Oriented_Reading_Instruction_to_Knowledge_About_Interventions_for_Motivations_in_Reading""},{""title"":""Effects of Integrated Instruction on Motivation and Strategy ..."",""url"":""https://web.pdx.edu/~mccunee/quant_621/PSY%20624/5%20Exploring%20Quasi-experiments/Guthrie%20et%20al.pdf""},{""title"":""Concept-Oriented Reading Instruction"",""url"":""https://en.wikipedia.org/wiki/Concept-Oriented_Reading_Instruction""},{""title"":""1 WWC Intervention Report Concept-Oriented Reading Instruction (CORI)"",""url"":""https://files.eric.ed.gov/fulltext/ED511268.pdf""},{""title"":""Effectiveness of Interventions that Foster Reading Motivation"",""url"":""https://www.researchgate.net/journal/Educational-Psychology-Review-1573-336X/publication/368426087_Effectiveness_of_interventions_that_foster_reading_motivation_A_meta-analysis/links/63e85890c002331f7271de6f/Effectiveness-of-Interventions-that-Foster-Reading-Motivation-a-Meta-analysis.pdf""},{""title"":""Contributions of Concept-Oriented Reading Instruction to Knowledge About Interventions for Motivations in Reading: Educational Psychologist: Vol 42, No 4"",""url"":""https://www.tandfonline.com/doi/abs/10.1080/00461520701621087""},{""title"":""1 WWC Intervention Report Concept-Oriented Reading Instruction (CORI)"",""url"":""https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/wwc_cori_081010.pdf""}]

Based on the search results, here's what I found regarding the Guthrie CORI meta-analysis and effect sizes:

## Meta-Analysis Overview

The impact of CORI on motivational processes, cognitive competencies, and reading comprehension were presented in the form of a meta-analysis of 11 CORI studies with 75 effect sizes on 20 outcome variables.

## Effect Sizes for Science/Content Learning

Guthrie et al. (2007) investigated the effects of Concept-Oriented Reading Instruction (CORI) on reading comprehension and different motivational variables, such as intrinsic motivation and self-efficacy. In CORI, motivational support and strategy instruction are combined in a content domain (e.g., science).

## Specific Effect Size Findings

Mean effect sizes for motivation ranged from Cohen's d = 0.12 to 1.20, with a median of 0.30. Mean effect sizes for reading comprehension were larger, ranging from Cohen's d = 0.65 to 0.93.

Additionally, children in CORI classrooms scored higher on motivation than did children in traditional classrooms, with effect sizes of 1.94 for curiosity.

The meta-analysis demonstrates that CORI produces moderate to large effect sizes for reading comprehension outcomes and variable effect sizes for motivational outcomes, with particularly strong effects for curiosity measures.


REMINDER: You MUST include the sources above in your response to the user using markdown hyperlinks.",28.141,28.203,tool_result,tool,WebSearch,,,,,266980dc-8a61-48db-8311-f09c693a39a6,text
Tool:WebSearch,"Web search results for query: ""disciplinary literacy science reading intervention adolescents meta-analysis 2023 2024 effect size""

Links: [{""title"":""A Meta–Analysis of Interventions to Improve Reading Comprehension Outcomes for Adolescents with Reading Difficulties - Hyojong Sohn, Kelly Acosta, Mary T. Brownell, Nicholas A. Gage, Eilish Tompson, Carolyn Pudvah, 2023"",""url"":""https://journals.sagepub.com/doi/10.1111/ldrp.12307""},{""title"":""(PDF) Comprehensive Meta-Analysis of Developmental Reading Interventions: Evaluating Effectiveness and Strategies for Improvement"",""url"":""https://www.researchgate.net/publication/387834954_Comprehensive_Meta-Analysis_of_Developmental_Reading_Interventions_Evaluating_Effectiveness_and_Strategies_for_Improvement""},{""title"":""Interventions for students with reading difficulties in Grades 4-12: A systematic review and meta-analysis - ScienceDirect"",""url"":""https://www.sciencedirect.com/science/article/pii/S1747938X25000958""},{""title"":""What We Know and Need to Know about Literacy Interventions for Elementary Students with Reading Difficulties and Disabilities, including Dyslexia - PMC"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC10321535/""},{""title"":""What Works for Teaching Word Reading to Adolescents? A Meta-Analytic Investigation | Educational Psychology Review | Springer Nature Link"",""url"":""https://link.springer.com/article/10.1007/s10648-026-10124-9""},{""title"":""The Effects of Educational Technology Interventions on Literacy in Elementary School: A Meta-Analysis - Rebecca D. Silverman, Kristin Keane, Elena Darling-Hammond, Saurabh Khanna, 2025"",""url"":""https://journals.sagepub.com/doi/abs/10.3102/00346543241261073?ai=1gvoi&mi=3ricys&af=R""},{""title"":""Digital Tools for Reading Success: Meta-analyses of Digital Interventions | Journal of Cognitive Enhancement | Springer Nature Link"",""url"":""https://link.springer.com/article/10.1007/s41465-025-00336-2""},{""title"":""Meta-analysis of targeted small-group reading interventions - ScienceDirect"",""url"":""https://www.sciencedirect.com/science/article/abs/pii/S0022440517301231""},{""title"":""Forty Years of Reading Intervention Research for Elementary Students with or at Risk for Dyslexia: A Systematic Review and Meta‐Analysis - Hall - 2023 - Reading Research Quarterly - Wiley Online Library"",""url"":""https://ila.onlinelibrary.wiley.com/doi/full/10.1002/rrq.477""}]

Based on the search results, here are relevant findings from recent meta-analyses on reading interventions for adolescents:

## Key Meta-Analyses (2023-2024)

A 2023 meta-analysis synthesized 97 effect sizes extracted from 37 intervention studies for students with reading difficulties in Grades 6 to 12 published between 1982 and 2021.

Another meta-analysis evaluated the effectiveness of developmental reading interventions on literacy outcomes among children and adolescents, synthesizing data from 120 studies published between 2019 and 2023, with results demonstrating moderate to large positive impact, with phonics-based approaches emerging as the most effective.

## Adolescent-Specific Findings

A meta-analysis investigated the effectiveness of interventions for adolescents in which word reading was the primary component, synthesizing findings from 34 studies involving 2,718 participants and 200 effects across 37 interventions.

Meta-analytic research with adolescent struggling readers found average effect sizes that ranged from g = 0.49 to g = 0.95.

## Intervention Delivery

Evidence from a recent meta-analysis indicates that reading interventions can be efficacious across all settings within MTSS, with results indicating no significant differences in effects between small group and one-on-one instruction.

The search results focus primarily on general reading interventions for adolescents rather than specifically on disciplinary literacy in science, but do provide substantial evidence on intervention effectiveness and effect sizes for this age group.


REMINDER: You MUST include the sources above in your response to the user using markdown hyperlinks.",28.203,28.538,tool_result,tool,WebSearch,,,,,50f3474b-223f-4e8c-9565-4cadd90872d0,text
Tool:WebSearch,"Web search results for query: ""meta-analysis reading comprehension strategy instruction science text effect size""

Links: [{""title"":""The Relationship Between Reading Strategy and Reading Comprehension: A Meta-Analysis"",""url"":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8371629/""},{""title"":""(PDF) Impact of reading strategy instruction on improvement of strategy use and reading comprehension: A meta-analysis"",""url"":""https://www.researchgate.net/publication/392698243_Impact_of_reading_strategy_instruction_on_improvement_of_strategy_use_and_reading_comprehension_A_meta-analysis""},{""title"":""Meta-Analysis of Reading Strategies for Students"",""url"":""https://files.eric.ed.gov/fulltext/ED493483.pdf""},{""title"":""Beyond Comprehension"",""url"":""https://www.ascd.org/el/articles/beyond-comprehension""},{""title"":""(PDF) A Meta‐Analysis on the Effects of Text Structure Instruction on Reading Comprehension in the Upper Elementary Grades"",""url"":""https://www.researchgate.net/publication/340727439_A_Meta-Analysis_on_the_Effects_of_Text_Structure_Instruction_on_Reading_Comprehension_in_the_Upper_Elementary_Grades""},{""title"":""ERIC - EJ1105625 - The Effects of Text Structure Instruction on Expository Reading Comprehension: A Meta-Analysis, Journal of Educational Psychology, 2016-Jul"",""url"":""https://eric.ed.gov/?id=EJ1105625""},{""title"":""A Meta-Analysis of Interventions for Struggling Readers in Grades 4–12: 1980–2011 - PMC"",""url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC3975734/""},{""title"":""The relationship between grammatical knowledge and reading comprehension: A meta-analysis"",""url"":""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10042300/""},{""title"":""A Meta‐Analysis on the Effects of Text Structure Instruction on Reading Comprehension in the Upper Elementary Grades - Bogaerds-Hazenberg - 2021 - Reading Research Quarterly - Wiley Online Library"",""url"":""https://ila.onlinelibrary.wiley.com/doi/full/10.1002/rrq.311""},{""title"":""Frontiers in Psychology (Aug 2021)"",""url"":""https://doaj.org/article/a4957346f28a425b84892729ab5b500c""}]

I've completed the web search for your query on meta-analysis research examining reading comprehension strategy instruction and effect sizes. Here's what I found:

## Key Research Findings:

**Meta-analyses on Reading Comprehension Strategy Instruction:**

One meta-analysis obtained 57 effect sizes representing 21,548 readers from empirical studies published between 1998 and 2019, examining the relationship between reading strategies and comprehension across different categories.

Previous meta-analyses of reading strategy instruction in second and foreign language contexts have consistently shown that reading strategy instruction has a positive impact on reading comprehension.

**Effect Size Results:**

All 12 meta-analyses showed statistically significant effects for reading-comprehension strategies improving students' comprehension, with effect sizes reported as positive and statistically significantly higher than 0.0. Effect sizes ranged from 1.13 to 0.10, with these being sizable effects in terms of typical effect sizes in education studies.

**Effectiveness of Strategy Components:**

Effect sizes for measures of reading comprehension were higher when strategy instruction involving cognitive and direct instruction were implemented. The impact on effect size was greater when strategies were combined, especially concerning small group interactive instruction and strategy cueing.

**Text Structure Instruction:**

Text structure instruction had positive immediate effects on reading comprehension with effect sizes varying across outcome measures: questions (Hedges' g = 0.25), summarization (g = 0.57), recall (g = 0.37), and knowledge about text structure (g = 0.38).


REMINDER: You MUST include the sources above in your response to the user using markdown hyperlinks.",28.538,31.053,tool_result,tool,WebSearch,,,,,c3bb9424-8148-491e-90de-fac77033a5d0,text
