start_time,end_time,name,content
0,2,Mae,this is interesting right here (**)
1,2,Adhir,yea
2,3,Jeans,Yea this is really cool 
2,4,Blake,oh yo yo yo look
5,8,Mae,this is..this is cool right here..these instruments are pretty amazing 
7,9,Adhir,Oh MY GOD.. Hanks D 28!
11,14,Blake,then there's like..  this is where bill monroe's mandolin is 
12,15,Lily,(***)
13,14,Jeans,K Blake
32,35,Lily,wow...what a guitar
37,40,Lily,jeans it has kinda scratches like yours
39,40,Mae,it does
40,43,Jeans,yep... right.. by the pick guard (**)
42,45,Mae,see there's like one his mom did right there (**)
46,47,Jeans,I DOUBT it 
47,50,Mae,david keeps mentioning that
50,52,Jeans,LOOK at this this is the coolest guitar in the world...(**)
53,57,Lily,awwww.. he's a key member of the Bluegrass Boys (***)
54,55,Jeans,Lester! 
60,63,Mae,seems kinda crazy to me that that instruments just sittin there (1
63,64,Adhir,mhm
63,64,Lily,aww it had his name on it
64,68,Mae,you know in some ways.. you wish someone (*) really awesome was using it
68,70,Blake,Adhir look.. Lester Flatt's guitar (*)
70,78,Adhir,well like Hank Williams..It looks like Hank Williams Jr. just donated .. gave it here as I imagine it would be so hard for him to part with his dads..guitar.. cuz he could be playing it
70,71,Jeans,it's so cool
72,74,Lily,one of the greatest rhythm instruments ever made (***)
73,74,Blake,Lester Flatts
74,76,Jeans,it's just a beautiful guitar..1950.. oh its 1950!
78,79,Mae,to donate it here you mean? 
79,82,Adhir,well yeah I mean maybe he didn't donate it but..it's just
80,85,Lily,fret and gluing his business card inside the sound hole (***)...yea 
81,82,Blake,Adhir!
82,83,Mae,mm
83,84,Blake,Lester Flatts guitar
84,85,Adhir,which one?
85,86,Blake,Lester Flatts
86,87,Adhir,oh wow
87,95,Mae,"I know, I don't know you wonder how he felt about that..maybe he felt like it was the best place for it (1"
88,91,Lily,there it is! it's in there up and to the left 
90,93,Jeans,wait uhh.. oh my god.. oh my god yep (1
96,97,Jeans,Earl Scruggs ban (1
100,102,Lily,what a piece of work he was
103,107,Blake,Look earl scruggs banjo!...everything's here
110,111,Lily,Blake look!
111,112,Jeans,yea...
113,114,Blake,hmhm..I've seen this all
115,116,Blake,and then Bill Monroe’s Mandolin!
115,116,Jeans,look it BILL MONROEE!
116,117,Lily,"OH MY GOD, "
118,121,Blake,LOOK it LOOKS PERFECT (**)
118,128,Jeans,this mandolin (**)  a thief broke into his house and smashed it and...Gibson put it back together for him with hundreds of little shards (*) of wood that were in the.. of the mandolin (**) 
127,129,Blake,read it! read it! (**) (***)
137,138,Lily,Lloyd Loar (***) 
138,139,Jeans,One hundred fifty
139,142,Mae,OK this is amazing...THAT is THE ONE (**) that was repaired
141,144,Lily,have you ever seen a more beautiful instrument? 
144,145,Jeans,NO! 
144,145,Lily,It's gorgeous!
144,145,Mae,NO! It's AWESOME!
145,147,Jeans,tha..this (**) is the most beautiful instrument in the whole 
147,150,Jeans,museum it's cooler than the mm 
147,150,Mae,I know!  It just blows your mind put it all back together 
150,153,Lily,spotted in a florida BARBERshop window (***)
155,162,Jeans,Lloyd Loar...ohs us?  Yea this is (**) silent July by Gibson's legendary acoustic engineer Lloyd Loar (***)
163,164,Mae,Yea it's awesome..I know
164,166,Lily,Oh my god that is so sweeeet
165,170,Mae,and it was put back together (*) from 150 pieces it's just stunning
168,170,Lily,GOSH! (2
169,170,Blake,and then Maybelle Carter (2
169,170,Jeans,and Maybelle Carter's guitar
173,175,Blake,and then Jimi Rogers' guitar
174,176,Mae,this is awesome to.. awesome
175,176,Jeans,for two hundred seventy five (***)
186,187,Jeans,where's Adhir!? 
188,192,Mae,look (**) it's interesting that big thing like why were they using that (*)  that's like a guard
193,195,Jeans,It's pickguard.. different kind
194,195,Mae,sticks out
195,196,Jeans,"more like a mandolin,"
196,198,Lily,the F.. the F style guitars have those more
198,199,Jeans,Yep
199,201,Blake,Adhir is still on Hank Williams 
200,202,Lily,yea he is going a little slowly
202,204,Mae,he's very emotional about it.. I love him
204,205,Jeans,Look at this..Look at THIS
206,207,Blake,Jimmie Rogers!
208,209,Jeans,guys check it
209,215,Mae,I was trying to analyze whether it was haaard for Hank Williams Jr.. to give it to the museum or whether he wanted it here
215,216,Jeans,who!? 
216,217,Jeans,who..who..who did that? 
216,219,Mae,like I can real.. was wondering those same questions who
220,226,Mae,well you wonder like.. (*) doesn’t somebody want this guitar.. like I think people would (*) want to be playing it..like family
225,228,Jeans,like June Carter.. you mean like what June Carter you mean?
227,234,Lily,some families though don't have that.. I mean like you know somebody has Tommy Geralds fiddle his family is disaster 
