speaker,start,end,content
Wallace ,8,58,"Good evening from the Health Education Campus of Case Western Reserve University and the Cleveland Clinic. I’m Chris Wallace of Fox News and I welcome you to the first of the 2020 Presidential Debates between President Donald J. Trump and former Vice President Joe Biden. This debate is sponsored by the Commission on Presidential debates. The Commission has designed the format, six roughly 15 minute segments with two minute answers from each candidate to the first question, then open discussion for the rest of each segment. Both campaigns have agreed to these rules. For the record, I decided the topics and the questions in each topic. I can assure you none of the questions has been shared with the Commission or the two candidates."
Wallace ,58,97,"This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the Health Security advisor to the Commission for all four debates. As a precaution, both campaigns have agreed the candidates will not shake hands at the beginning of tonight’s debate. The audience here in the hall has promised to remain silent. No cheers, no boos, or other interruptions so we, and more importantly you, can focus on what the candidates have to say. No noise except right now, as we welcome the Republican nominee, President Trump, and the Democratic nominee Vice President Biden."
Trump,97,98,How
Biden,97,99,"How you doing, man?"
Trump,99,99,How are you doing?
Biden,99,119,I’m well.
Wallace ,119,169,"Gentlemen, a lot of people been waiting for this night, so let’s get going. Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court. You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court. Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power. My first question to both of you tonight, why are you right in the argument you make and your opponent wrong? And where do you think a Justice Barrett would take the court? President Trump, in this first segment, you go first. Two minutes."
Trump,169,221,"Thank you very much, Chris. I will tell you very simply. We won the election. Elections have consequences. We have the Senate, we have the White House, and we have a phenomenal nominee respected by all. Top, top academic, good in every way. Good in every way. In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places. So I think she’s going to be fantastic. We have plenty of time. Even if we did it after the election itself. I have a lot of time after the election, as you know. So I think that she will be outstanding. She’s going to be as good as anybody that has served on that court. We really feel that. We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had. He’s been a professor for a long time at a great school."
Trump,221,250,"And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise. And by the way, the Democrats, they wouldn’t even think about not doing it. The only difference is they’d try and do it faster. There’s no way they would give it up. They had Merrick Garland, but the problem is they didn’t have the election so they were stopped. And probably that would happen in reverse, also. Definitely would happen in reverse. So we won the election and we have the right to do it, Chris."
Wallace ,250,257,"President Trump, thank you. Same question to you, Vice President Biden. You have two minutes."
Biden,257,262,"Well, first of all, thank you for doing this and looking forward to this, Mr. President."
Trump,262,264,"Thank you, Joe."
Biden,264,300,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.
Biden,300,356,"Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act. He’s been running on that, he ran on that and he’s been governing on that. He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I’m not opposed to the justice, she seems like a very fine person. But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that’s on the court, and if it’s struck down, what happens? Women’s rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They’re able to charge women more for the same exact procedure a man gets."
Biden,356,382,"And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it’s just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February."
Trump,382,409,"There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-"
Biden,409,410,He’s elected to the next election.
Trump,410,432,"During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this."
Biden,432,433,That’s simply not true.
Trump,433,437,"Well, you’re certainly going to socialist. You’re going to socialist medicine-"
Wallace ,437,439,"Gentlemen, we’re now into open discussion."
Biden,439,440,Open discussion.
Wallace ,440,441,"Open discussion, yes, I agree. Go ahead, Vice President."
Biden,441,466,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal."
Trump,466,468,That’s not what you’ve said and it’s not what your party is saying.
Biden,468,470,That is simply a lie.
Trump,470,473,Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.
Biden,473,476,"The party is me. Right now, I am the Democratic Party."
Trump,476,477,"And they’re going to dominate you, Joe. You know that."
Biden,477,479,I am the Democratic Party right now.
Trump,479,480,Not according to Harris.
Biden,480,507,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 20, the 200 mil- the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?"
Trump,507,515,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this."
Biden,515,516,I’m happy to talk about this.
Trump,516,526,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe."
Wallace ,526,528,"All right, gentlemen, Mr. President."
Trump,528,532,"You would have been much later, Joe, much later."
Wallace ,532,532,Mr. President.
Trump,532,533,We’re talking about two million people.
Biden,533,534,You’re not going to be able to shut him up.
Wallace ,534,539,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead."
Biden,539,553,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-"
Trump,553,559,You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot.
Biden,559,560,It’s on the ballot in the court.
Trump,560,561,I don’t think so.
Biden,561,562,In the court.
Trump,562,563,There’s nothing happening there.
Biden,563,564,Donald would you just be quiet for a minute.
Trump,564,568,You don’t know her view on Roe V. Wade? You don’t know here view.
Wallace ,568,579,"Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade."
Biden,579,579,All right.
Wallace ,579,593,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare."
Trump,593,593,That’s right.
Wallace ,593,595,You have spent the last week-
Trump,595,596,Because they want to give good healthcare.
Wallace ,596,599,"If I may ask my question, sir."
Biden,599,599,Good healthcare.
Wallace ,599,613,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare."
Trump,613,614,"Yes, I have. Of course, I have. The individual mandate."
Wallace ,614,616,[crosstalk 00:11:26] when I finish I’m going to give an opportunity-
