start,end,code
0.0,2.709,user_message
2.709,21.284,assistant_message
21.284,42.554,user_message
42.554,67.806,assistant_message
93.059,97.659,user_message
162.761,222.761,assistant_message
289.137,291.137,user_message
375.542,380.176,assistant_message
380.176,405.151,user_message
405.151,438.323,assistant_message
471.496,492.654,user_message
492.654,512.188,assistant_message
512.188,514.188,user_message
648.725,708.725,assistant_message
708.725,714.925,user_message
779.437,805.999,assistant_message
832.560,837.160,user_message
933.766,955.729,assistant_message
977.692,1019.288,user_message
1060.885,1073.639,assistant_message
1073.639,1075.439,user_message
1203.224,1252.537,assistant_message
1301.849,1309.449,user_message
1361.898,1393.496,assistant_message
1425.095,1429.495,user_message
1479.567,1496.177,assistant_message
1512.787,1538.715,user_message
1538.715,1552.324,assistant_message
1552.324,1553.324,user_message
1950.905,1950.984,assistant_message
1950.984,1957.984,user_message
1989.443,1990.443,assistant_message
